账号,制作人,发布类型,发布日期,标题,爆款,阅读,点赞,收藏,评论,分享,笔记涨粉
"北美省钱快报","Jade","","9/1","美疯💗Stanley✖️Barbie梦幻联名🎀",FALSE,"1809","25","3","0","37","0"
"北美省钱快报","Jade","","8/31","🔥国际培根日🥓汉堡王🈵1送培根芝士汉堡🍔",FALSE,"1156","9","2","0","19","0"
"北美省钱快报","Jade","","8/30","家居收纳必备‼️这些宜家收纳好物你必须拥有",FALSE,"5150","38","18","0","4","1"
"北美省钱快报","Jade","","8/30","留子们是不是都好有钱啊❓",FALSE,"1480","12","4","8","2","0"
"北美省钱快报","Jade","","8/30","重磅更新‼️法案已通过就等加州州长签字了",TRUE,"12900","76","22","86","174","7"
"北美省钱快报","Jade","","8/30","哪一款才是你的幸运包包👜选对包包运气爆棚",FALSE,"1737","15","7","1","4","0"
"北美省钱快报","Jade","","8/29","码住这份清单🧾这些美国常用药一样很好用❤️",FALSE,"8585","187","290","0","116","12"
"北美省钱快报","Jade","","8/29","Update‼️受害者家人讲述她遇害后的72小时",TRUE,"18100","153","45","22","149","11"
"北美省钱快报","Jade","","8/29","2024🇺🇸Labor Day假期有哪些商店不开门❓",TRUE,"13799.999999999998","112","45","8","52","17"
"北美省钱快报","Jade","","8/29","秒杀来袭‼️快去啊‼️惊现💲0.99海底捞👀",FALSE,"822","14","7","1","2","1"
"北美省钱快报","Jade","","8/28","北美中秋月饼测评🥮君君跟你开箱爆款礼盒🎑",FALSE,"3913","25","6","5","6","2"
"北美省钱快报","Jade","","8/28","老钱风太高级了‼️优雅低调有品味的家居风格",FALSE,"860","13","5","0","1","0"
"北美省钱快报","Jade","","8/28","⛰️2024最新63个国家公园排名🇺🇸公园免费日",FALSE,"5179","131","162","13","108","12"
"北美省钱快报","Jade","","8/28","IKEA变身eBay❓宜家推出二手家具网上交易",FALSE,"2276","34","13","1","15","1"
"北美省钱快报","Jade","","8/28","上车‼️Labor Day折扣汇总📋快来剁手",TRUE,"14200","298","234","5","179","49"
"北美省钱快报","Jade","","8/27","缺德舅新品来袭‼️这些美味千万不能错过🔥",TRUE,"12100","144","94","5","62","26"
"北美省钱快报","Jade","","8/27","莱斯大学开学第一天就发生惨案🕯️",FALSE,"6925","34","12","7","105","9"
"北美省钱快报","Jade","","8/27","Mark这篇北美留子学习秘籍📑免费资源用起来",FALSE,"3238","27","14","0","5","1"
"北美省钱快报","Jade","","8/27","有个时尚的妈妈是种什么样的体验❓",FALSE,"584","8","4","0","2","0"
"北美省钱快报","Jade","","8/26","Daiso美味速食🤤解锁你的味蕾体验‼️",TRUE,"13700.000000000002","58","25","3","11","5"
"北美省钱快报","Jade","","8/26","刚来美或准备来美的你请务必收藏这份攻略‼️",FALSE,"826","13","15","0","3","1"
"北美省钱快报","Jade","","8/26","突发‼️亿万科技大佬被抓‼️自曝有100多个娃",FALSE,"4920","35","11","10","43","0"
"北美省钱快报","Jade","","8/26","薅起来‼️星巴克手作饮品5折☕️",FALSE,"9342","49","19","39","64","4"
"北美省钱快报","Jade","","8/26","拒绝焦虑❌轻松拿捏抗老高端局🤏",FALSE,"849","10","7","1","2","0"
"北美省钱快报","Jade","","8/25","太颠了‼️美国明星医生变杀手👨‍⚕️",TRUE,"201900","2714","1123","1145","2541","193"
"北美省钱快报","Jade","","8/24","香炸‼️Popeyes炸鸡套餐限时回归仅💲6.99",FALSE,"7545","75","25","13","138","14"
"北美省钱快报","Jade","","8/23","来Aldi不买这些你糊涂啊🛒宝藏美食清单🧐",TRUE,"17400","224","237","3","179","48"
"北美省钱快报","Jade","","8/23","你拖后腿了吗❓ 在美国多少资产才算“有钱”❓",FALSE,"7402","26","19","43","58","6"
"北美省钱快报","Jade","","8/23","留学生必读📖 这样学英语和老外交流无障碍",FALSE,"759","15","13","0","2","1"
"北美省钱快报","Jade","","8/23","极简才是穿搭中的天花板💃🏻高级感ootd来啦",FALSE,"1067","9","2","0","1","0"
"北美省钱快报","Jade","","8/22","Target高颜值做饭神器🎯租房党学生党看过来",TRUE,"10700","92","69","2","42","39"
"北美省钱快报","Jade","","8/22","只有想不到没有买不到‼️北美超市大盘点🧐",FALSE,"2347","43","38","1","14","7"
"北美省钱快报","Jade","","8/22","星巴克南瓜香料拿铁🎃苹果玛奇朵限时回归",FALSE,"2359","24","11","11","23","0"
"北美省钱快报","Jade","","8/22","美国人苦读西游记➕恶补中文竟是为了这只猴",FALSE,"6361","84","13","8","34","3"
"北美省钱快报","Jade","","8/21","嘴馋又怕不健康❓这10款零食放心炫😋",FALSE,"7651","111","132","0","62","11"
"北美省钱快报","Jade","","8/21","拒绝窥探‼️在谷歌地图模糊自家防踩点",FALSE,"3752","109","98","4","64","1"
"北美省钱快报","Jade","","8/21","十二星座对应的本命香水大盘点♉️哪款适合你",FALSE,"922","16","7","1","6","0"
"北美省钱快报","Jade","","8/21","美国留学太无聊❓音乐节超嗨蹦迪走起‼️",FALSE,"3097","33","18","4","14","3"
"北美省钱快报","Jade","","8/20","开学季学生党必备‼️宜家高性价比家具推荐",FALSE,"5460","47","24","1","17","3"
"北美省钱快报","Jade","","8/20","贺锦丽势头越来越强🧐民调超特朗普6个百分",FALSE,"5519","39","10","145","9","3"
"北美省钱快报","Jade","","8/20","少走弯路‼️ 留学生必备的10个助力学业网站",FALSE,"937","25","29","0","6","1"
"北美省钱快报","Jade","","8/20","万众瞩目的《黑神话：悟空》现已全球同步解锁",FALSE,"2957","22","10","10","21","1"
"北美省钱快报","Jade","","8/19","Costco必买‼️10款让你秒回家乡的亚洲美食",TRUE,"11100.000000000002","100","63","9","45","10"
"北美省钱快报","Jade","","8/19","CVS、Target等药房出售仿制版药含致癌物质‼️",TRUE,"20600","203","135","75","522","22"
"北美省钱快报","Jade","","8/19","君君喊你剁手啦‼️蛋黄酥💰0.99安耐晒💰5.99",FALSE,"2578","21","17","3","22","3"
"北美省钱快报","Jade","","8/19","原来这些才是留学生真正的贵重物品🤩",FALSE,"2675","20","8","0","2","1"
"北美省钱快报","Jade","","8/17","前几年卖过房子可申请佣金索赔‼️瓜分9.8亿",FALSE,"7463","119","192","14","297","5"
"北美省钱快报","Jade","","8/17","缺德舅635,000个蜡烛召回‼️有安全隐患🕯️",TRUE,"12600","80","33","25","145","14"
"北美省钱快报","Jade","","8/16","不能错过❤️Aldi超好吃冷门宝藏零食分享",FALSE,"8157","72","69","1","51","9"
"北美省钱快报","Jade","","8/16","手慢无🔥街舞体验课仅需💲9.9‼️来圆女团梦",FALSE,"2273","37","18","15","16","6"
"北美省钱快报","Jade","","8/16","西雅图25岁女生被男友割喉残杀🕯️死相凄惨",TRUE,"127700","1773","377","564","3222","236"
"北美省钱快报","Jade","","8/16","留学生落地美国🇺🇸首先要办好这些事情‼️",FALSE,"928","9","14","1","2","1"
"北美省钱快报","Jade","","8/15","Hmart必买酱料‼️神仙酱料让你秒变大厨🧑‍🍳",TRUE,"12300","177","326","1","90","28"
"北美省钱快报","Jade","","8/15","🇺🇸美国买书太贵❓帮你买到便宜的教材‼️",FALSE,"975","20","22","0","13","0"
"北美省钱快报","Jade","","8/15","迪士尼霸王条款曝光‼️命丧园区被禁止起诉❓",FALSE,"3068","19","6","11","12","0"
"北美省钱快报","Jade","","8/15","留子别慌‼️这些App助你落地横扫美国📱",FALSE,"1595","35","46","3","9","3"
"北美省钱快报","Jade","","8/14","放心炫‼️猴父子低卡零食推荐🛒越吃越瘦🤤",FALSE,"6719","86","64","0","20","7"
"北美省钱快报","Jade","","8/14","你选对了吗❓美国最赚钱的大学专业排名🔍",FALSE,"1970","18","15","1","24","0"
"北美省钱快报","Jade","","8/14","离离原上谱🫠刚来留学走过的离谱“弯路”‼️",FALSE,"1392","14","7","3","3","0"
"北美省钱快报","Jade","","8/14","超值🥩Outback💲14.99三菜套餐来啦‼️",TRUE,"20500","176","124","26","413","42"
"北美省钱快报","Jade","","8/13","🎯目标锁定这10款好吃到停不下来的零食‼️",FALSE,"8143","81","70","0","36","7"
"北美省钱快报","Jade","","8/13","能力者看过来👋君君摇人啦‼️快加入我们",FALSE,"2710","32","7","3","15","3"
"北美省钱快报","Jade","","8/13","收藏这份清单‼️让你在🇺🇸轻松应对感冒发烧",FALSE,"1974","112","198","0","33","6"
"北美省钱快报","Jade","","8/13","通勤ootd🧥告别单调👋每天出门都有新彩蛋😍",FALSE,"982","10","8","0","1","0"
"北美省钱快报","Jade","","8/13","麦门集合‼️麦当劳送联名杯子啦🤩",TRUE,"18800","115","48","141","462","16"
"北美省钱快报","Jade","","8/12","缺德舅新品盘点😋这些爆款美味你一定要",TRUE,"24600","256","174","12","118","57"
"北美省钱快报","Jade","","8/12","留学生省钱秘籍‼️edu邮箱优惠大攻略🧑‍🎓",FALSE,"4222","161","201","1","84","16"
"北美省钱快报","Jade","","8/12","加州州长硬核出手清理流浪汉🤯这也太猛了吧",TRUE,"10500","75","9","69","57","6"
"北美省钱快报","Jade","","8/12","暖冷色大战❗️田园风🆚极简风 谁才是你的菜❓",FALSE,"776","9","8","1","1","1"
"北美省钱快报","Jade","","8/10","上班丑关我下班什么事啊🤬哪种才是你的ootd",FALSE,"1540","11","1","0","0","0"
"北美省钱快报","Jade","","8/9","本周末‼️北美的小伙伴一起来看流星雨吧🌠🤩",FALSE,"7449","115","96","12","330","5"
"北美省钱快报","Jade","","8/9","开抢‼️Sephora员工亲友大促8折来袭👏🏻",FALSE,"6212","56","23","30","30","6"
"北美省钱快报","Jade","","8/9","纽约地铁空气质量堪忧❗超出标准10倍😱",FALSE,"2415","30","7","7","89","2"
"北美省钱快报","Jade","","8/8","Hmart冰淇淋购买指南🍦清爽一夏就靠你们啦",FALSE,"6293","62","47","0","22","2"
"北美省钱快报","Jade","","8/8","Cybertruck发生惨烈车祸😱连人带车烧没了",TRUE,"25800","143","29","51","570","13"
"北美省钱快报","Jade","","8/8","演唱会门票哪里买zuì划算‼️看这篇就对啦🤩",FALSE,"3001","74","92","4","5","2"
"北美省钱快报","Jade","","8/8","薅他‼️星巴克一律5折‼️周五见🩷",FALSE,"7220","51","19","32","112","9"
"北美省钱快报","Jade","","8/7","大家都夸我超会买🥰Aldi 10款冷门宝藏零食",TRUE,"14500","148","156","10","112","26"
"北美省钱快报","Jade","","8/7","Supreme变“赔钱货”母公司🩸亏6亿美金转手‼️",FALSE,"6364","26","3","12","87","0"
"北美省钱快报","Jade","","8/7","官宣‼️Costco在入口安装扫描仪 进店必刷卡",FALSE,"7645","31","6","41","86","3"
"北美省钱快报","Jade","","8/7","注意‼️ 飓风黛比登陆佛州已致5死😱",FALSE,"7715","26","6","13","141","5"
"北美省钱快报","Jade","","8/6","击败炎热‼️缺德舅10款宝藏冰淇淋必入🍦",FALSE,"7243","65","41","1","25","5"
